DATE,Food_CPI,Lumber_PPI,Unemployment_Rate,Crude_Oil_WTI,Median_Home_Sales_Price,CPI_All_Urban_Consumers,Median_Household_Income,Federal_Minimum_Wage,Treasury_10yr,Treasury_2yr,PCE_Price_Index,Federal_Funds_Rate,M2_Money_Supply,Industrial_Production_Index,Retail_Sales,Credit_Card_Delinquency_Rate,Mortgage_Rate_30yr,Case_Shiller_Home_Price_Index,High_Yield_Credit_Spread,Student_Loan_Debt,Federal_Debt_Total,GDP_Growth_Rate,SP500,Gold_Price,Housing_Affordability_Index
1980-01,83.3,101.9,6.3,,63700.0,78.0,,3.1,10.802272727272728,11.498181818181818,37.124,13.82,1482.7,52.0679,,,12.8775,,,,863451.0,0.31457115392630186,,,
1980-02,83.4,103.5,6.3,,62600.0,79.0,,3.1,12.414736842105263,13.418421052631578,37.526,14.13,1494.6,52.082,,,13.040000000000001,,,,845116.0,0.31457115392630186,,,
1980-03,84.1,103.6,6.3,,63700.0,80.1,,3.1,12.74904761904762,14.884761904761904,37.987,17.19,1499.8,51.87,,,15.2825,,,,863451.0,0.31457115392630186,,,
1980-04,84.7,96.8,6.9,,64000.0,80.9,,3.1,11.473333333333333,12.501904761904763,38.185,17.61,1502.2,50.8397,,,16.325000000000003,,,,877614.0,-2.0604348641575676,,,
1980-05,85.2,95.5,7.5,,63700.0,81.7,,3.1,10.181428571428572,9.45,38.482,10.98,1512.3,49.589,,,14.262,,,,863451.0,-2.0604348641575676,,,
1980-06,85.7,98.3,7.6,,64000.0,82.5,,3.1,9.778095238095238,8.728095238095237,38.725,9.47,1529.2,48.9482,,,12.71,,,,877614.0,-2.0604348641575676,,,
1980-07,86.6,101.6,7.8,,64900.0,82.6,,3.1,10.247727272727273,9.029545454545454,39.026,9.03,1545.5,48.6039,,,12.192499999999999,,,,907701.0,-0.11885474978821087,,,
1980-08,88.0,104.0,7.7,,64000.0,83.2,,3.1,11.101904761904763,10.527619047619046,39.351,9.61,1561.5,48.7563,,,12.559999999999999,,,,877614.0,-0.11885474978821087,,,
1980-09,89.1,102.6,7.5,,64900.0,83.9,,3.1,11.508571428571429,11.574761904761905,39.715,10.87,1574.0,49.5608,,,13.1975,,,,907701.0,-0.11885474978821087,,,
1980-10,89.8,101.5,7.5,,66400.0,84.7,,3.1,11.751363636363635,12.088181818181818,40.033,12.81,1584.8,50.1908,,,13.791999999999998,,,,930210.0,1.8649233201466497,,,
1980-11,90.8,103.0,7.5,,64900.0,85.6,,3.1,12.68470588235294,13.514117647058825,40.359,15.85,1595.8,51.0311,,,14.205,,,,907701.0,1.8649233201466497,,,
1980-12,91.3,105.2,7.2,,66400.0,86.4,,3.1,12.844090909090909,14.076818181818181,40.621,18.9,1599.8,51.3708,,,14.79,,,,930210.0,1.8649233201466497,,,
1981-01,91.6,104.1,7.5,,66800.0,87.2,,3.35,12.568571428571428,13.262380952380951,41.011,19.08,1606.9,51.0415,,,14.904,,,,964531.0,1.9594222106853687,,,
1981-02,92.1,103.5,7.4,,66400.0,88.0,,3.35,13.194444444444445,13.918888888888889,41.426,15.93,1618.7,50.824,,,15.1325,,,,930210.0,1.9594222106853687,,,
1981-03,92.6,103.4,7.4,,66800.0,88.6,,3.35,13.115909090909092,13.568636363636363,41.715,14.7,1636.6,51.0826,,,15.4,,,,964531.0,1.9594222106853687,,,
1981-04,92.8,105.1,7.2,,69400.0,89.1,,3.35,13.67952380952381,14.151428571428571,41.897,15.72,1659.2,50.858,,,15.58,,,,971174.0,-0.7410757067079277,,,
1981-05,92.8,104.8,7.5,,66800.0,89.7,,3.35,14.0995,15.456999999999999,42.085,18.52,1664.2,51.1495,,,16.402,,,,964531.0,-0.7410757067079277,,,
1981-06,93.2,104.7,7.5,,69400.0,90.5,,3.35,13.472272727272726,14.50590909090909,42.253,19.1,1670.3,51.4101,,,16.695,,,,971174.0,-0.7410757067079277,,,
1981-07,93.9,104.1,7.2,,69200.0,91.5,,3.35,14.280909090909091,15.35409090909091,42.508,19.04,1681.9,51.7471,,,16.832,,,,997855.0,1.197502074963408,,,
1981-08,94.4,103.4,7.4,,69400.0,92.2,,3.35,14.937142857142858,16.284761904761904,42.774,17.82,1694.3,51.6826,,,17.285,,,,971174.0,1.197502074963408,,,
1981-09,94.8,101.6,7.6,,69200.0,93.1,,3.35,15.323809523809524,16.457619047619048,43.033,15.87,1706.0,51.4337,,,18.16,,,,997855.0,1.197502074963408,,,
1981-10,95.0,99.8,7.9,,70400.0,93.4,,3.35,15.14809523809524,15.542857142857141,43.228,15.08,1721.8,51.0281,,,18.454,,,,1028729.0,-1.0895967316235544,,,
1981-11,95.1,99.1,8.3,,69200.0,93.8,,3.35,13.392777777777777,12.881666666666668,43.46,13.31,1736.1,50.435,,,17.825,,,,997855.0,-1.0895967316235544,,,
1981-12,95.3,100.2,8.5,,70400.0,94.1,,3.35,13.724545454545455,13.290454545454544,43.594,12.37,1755.5,49.8987,,,16.945999999999998,,,,1028729.0,-1.0895967316235544,,,
1982-01,95.6,100.3,8.6,,66400.0,94.4,,3.35,14.594,14.568000000000001,43.853,13.22,1770.4,48.8685,,,17.485,,,,1061299.0,-1.5536446424985861,,,
1982-02,96.3,100.2,8.9,,70400.0,94.7,,3.35,14.425555555555556,14.823333333333332,43.985,14.78,1774.5,49.8636,,,17.5975,,,,1028729.0,-1.5536446424985861,,,
